school_name,school_id,province,department,zone,is_self_line_34,is_double_first_class,has_graduate_school,yz_detail_url,yz_contact_url,yz_detail_page_status,yz_detail_error,yz_brochure_url,yz_notice_url,official_site_url,external_site_candidates,contact_page_status,contact_page_title,source_list_url,fetched_at,contact_error
北京大学,367878,北京,教育部,A,true,true,true,https://yz.chsi.com.cn/sch/schoolInfo--schId-367878.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367878,categoryId-481381.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367878,categoryId-10460768,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10001&ssdm=11 ,https://www.pku.edu.cn,https://admission.pku.edu.cn/lxxx/lxzb/index.htm | http://yjsy.bjmu.edu.cn/zslq/lxwm/index.htm,200,北京大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:22.755615+00:00,
中国人民大学,367879,北京,教育部,A,true,true,true,https://yz.chsi.com.cn/sch/schoolInfo--schId-367879.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367879,categoryId-441190.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367879,categoryId-10460770,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10002&ssdm=11 ,http://www.ruc.edu.cn,http://www.ruc.edu.cn/ | http://pgs.ruc.edu.cn/ | http://grs.ruc.edu.cn/ | http://www.ruc.edu.cn | http://pgs.ruc.edu.cn | http://grs.ruc.edu.cn,200,中国人民大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:22.774221+00:00,
清华大学,367880,北京,教育部,A,true,true,true,https://yz.chsi.com.cn/sch/schoolInfo--schId-367880.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367880,categoryId-441295.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367880,categoryId-10460772,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10003&ssdm=11 ,https://www.tsinghua.edu.cn,http://yz.tsinghua.edu.cn,200,清华大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:22.869016+00:00,
北京交通大学,367881,北京,教育部,A,false,true,true,https://yz.chsi.com.cn/sch/schoolInfo--schId-367881.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367881,categoryId-483766.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367881,categoryId-10460774,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10004&ssdm=11 ,https://bjtu.edu.cn,https://bjtu.edu.cn/xxgk/xrld/index.htm | https://bjtu.edu.cn/xxgk/xxjj/index.htm | https://bjtu.edu.cn/xxgk/xyfg/index.htm,200,北京交通大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:24.137420+00:00,
北京工业大学,367882,北京,北京市,A,false,true,false,https://yz.chsi.com.cn/sch/schoolInfo--schId-367882.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367882,categoryId-441400.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367882,categoryId-10460776,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10005&ssdm=11 ,http://www.bjut.edu.cn,http://www.bjut.edu.cn/intro/campusmap.jsp?columnID=143 | http://www.bjut.edu.cn/xxgk/xydt1.htm,200,北京工业大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:24.142173+00:00,
北京航空航天大学,367883,北京,工业与信息化部,A,true,true,true,https://yz.chsi.com.cn/sch/schoolInfo--schId-367883.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367883,categoryId-441505.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367883,categoryId-10460778,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10006&ssdm=11 ,https://www.buaa.edu.cn,http://yzb.buaa.edu.cn/lxwm/lxwm.htm,200,北京航空航天大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:22.793554+00:00,
北京理工大学,367884,北京,工业与信息化部,A,true,true,true,https://yz.chsi.com.cn/sch/schoolInfo--schId-367884.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367884,categoryId-441610.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367884,categoryId-10460780,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10007&ssdm=11 ,https://www.bit.edu.cn,http://liangxiang.bit.edu.cn/zx/ggtz/28198.htm,200,北京理工大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:24.135215+00:00,
北京科技大学,367896,北京,教育部,A,false,true,true,https://yz.chsi.com.cn/sch/schoolInfo--schId-367896.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367896,categoryId-442557.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367896,categoryId-10460782,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10008&ssdm=11 ,https://www.ustb.edu.cn,http://yzxc.ustb.edu.cn/lxwm/4615.htm,200,北京科技大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:22.875312+00:00,
北方工业大学,367886,北京,北京市,A,false,false,false,https://yz.chsi.com.cn/sch/schoolInfo--schId-367886.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367886,categoryId-441716.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367886,categoryId-10460784,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10009&ssdm=11 ,https://www.ncut.edu.cn,http://yjsy.ncut.edu.cn/index.htm | https://yjsy.ncut.edu.cn/info/1185/4305.htm,200,北方工业大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:23.489431+00:00,
北京化工大学,367877,北京,教育部,A,false,true,false,https://yz.chsi.com.cn/sch/schoolInfo--schId-367877.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367877,categoryId-441085.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367877,categoryId-10460786,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10010&ssdm=11 ,https://www.buct.edu.cn,http://gs.buct.edu.cn/,200,北京化工大学_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/,2026-04-26T13:34:23.477677+00:00,
